rank,track,artist,billed_artist_count,is_collaboration,spotify_streams_total,daily_streams,daily_streams_rank,daily_stream_share_pct,wrapped_global_top10_rank
46,Mystical Magical,Benson Boone,1,False,552296125,816772,71,0.1479,
47,Gnarly,KATSEYE,1,False,541671166,823647,69,0.1521,
48,Revolving door,Tate McRae,1,False,526885514,563808,125,0.107,
49,Takedown,HUNTR/X,1,False,516004235,514291,147,0.0997,
50,Por Esos Ojos,Fuerza Regida,1,False,512442675,781590,76,0.1525,
51,TU VAS SIN (fav),Rels B,1,False,511049664,1037895,44,0.2031,
52,Folded,Kehlani,1,False,493498588,1065769,41,0.216,
53,Nice To Each Other,Olivia Dean,1,False,486900365,1006869,48,0.2068,
54,Die On This Hill,SIENNA SPIRO,1,False,474422630,1592858,26,0.3357,
55,En Privado,Xavi,1,False,470258488,642634,101,0.1367,
56,Tears,Sabrina Carpenter,1,False,469159053,724772,87,0.1545,
57,QLOO*,Young Cister,1,False,465568840,850279,66,0.1826,
58,YO y TÚ,Ovy On The Drums,1,False,461572434,784039,75,0.1699,
59,Shake It To The Max (FLY),MOLIY,1,False,459214759,460227,170,0.1002,
60,bergema sampai selamanya,Nadhif Basalamah,1,False,450131763,898737,62,0.1997,
61,Azizam,Ed Sheeran,1,False,448805160,502929,151,0.1121,
62,P do Pecado,Grupo Menos É Mais,1,False,444670782,554719,131,0.1247,
63,Finding Her,Kushagra,1,False,441799706,746573,81,0.169,
64,Busy Woman,Sabrina Carpenter,1,False,441048997,503710,150,0.1142,
65,ANSIEDAD,Fuerza Regida,1,False,437195303,935479,54,0.214,
66,Saiyaara,Tanishk Bagchi,1,False,435404301,569590,121,0.1308,
67,Dracula,Tame Impala,1,False,431257642,2086079,17,0.4837,
68,VITAMINA,Jombriel,1,False,429397922,387182,208,0.0902,
69,Choosin' Texas,Ella Langley,1,False,424686832,2929067,4,0.6897,
70,I'm The Problem,Morgan Wallen,1,False,422721736,758689,78,0.1795,
71,2+2,Omar Camacho,1,False,421820248,608401,109,0.1442,
72,TATTOO,Tito Double P,1,False,416827012,484683,158,0.1163,
73,Sorry I'm Here For Someone Else,Benson Boone,1,False,416464476,516665,144,0.1241,
74,What I Want,Morgan Wallen,1,False,410976822,727053,85,0.1769,
75,Dark Thoughts,Lil Tecca,1,False,410779727,431495,186,0.105,
76,Tubarões,Diego & Victor Hugo,2,True,410283212,457935,172,0.1116,
77,PERFuMITO NUEVO,Bad Bunny,1,False,408310809,426481,189,0.1045,
78,Fame is a Gun,Addison Rae,1,False,408261627,907098,60,0.2222,
79,YUKON,Justin Bieber,1,False,403396306,1003931,49,0.2489,
80,Eternity,Alex Warren,1,False,398670565,568769,122,0.1427,
81,Cry For Me,The Weeknd,1,False,398635434,424259,193,0.1064,
82,7 DIAS,Gabito Ballesteros,1,False,397923828,294851,283,0.0741,
83,When Did You Get Hot?,Sabrina Carpenter,1,False,396777172,658634,97,0.166,
84,POR SUS BESOS,Tito Double P,1,False,393452063,900339,61,0.2288,
85,Sugar On My Tongue,"Tyler, The Creator",2,True,381470994,402538,199,0.1055,
86,COMO CAPO,Clave Especial,1,False,376659745,484237,159,0.1286,
87,CAFé CON RON,Bad Bunny,1,False,375349291,750031,79,0.1998,
88,Sapphire,Ed Sheeran,1,False,370233797,380507,212,0.1028,
89,Born Again,LISA,1,False,369943062,257170,320,0.0695,
90,DIE TRYING,PARTYNEXTDOOR,1,False,369537323,560749,128,0.1517,
91,I Got Better,Morgan Wallen,1,False,367594347,1015265,46,0.2762,
92,Frecuencia,Los Dareyes De La Sierra,1,False,366952213,643108,100,0.1753,
93,CHANEL,Tyla,1,False,362363125,563283,127,0.1554,
94,M&M,Neton Vega,1,False,358624878,286394,293,0.0799,
95,Elizabeth Taylor,Taylor Swift,1,False,356928448,581683,117,0.163,
96,Perlas Negras,Natanael Cano,1,False,355047691,626659,104,0.1765,
97,Blessings,Calvin Harris,1,False,352437146,727824,84,0.2065,
98,Cuando No Era Cantante,El Bogueto,1,False,351110526,2081518,18,0.5928,
99,Crystalised,The xx,1,False,344887513,100108,569,0.029,
100,Amigos? No.,Oscar Maydon,1,False,343129626,329110,249,0.0959,
101,si te pillara,Beéle,1,False,341694253,457637,173,0.1339,
102,Vita Fer,Los Dareyes De La Sierra,1,False,339460458,313579,267,0.0924,
103,Who Knows,Daniel Caesar,1,False,337326315,1276085,35,0.3783,
104,Pvta Luna,Neton Vega,1,False,335658751,1129113,37,0.3364,
105,SPIDER,GIMS,1,False,330147874,251867,330,0.0763,
106,Just In Case,Morgan Wallen,1,False,329878795,412829,195,0.1251,
107,Phantom,EsDeeKid,1,False,329347821,657274,98,0.1996,
108,Killin' It Girl,j-hope,1,False,328497104,302482,276,0.0921,
109,ExtraL,JENNIE,1,False,328470273,235585,348,0.0717,
110,Bloodline,Alex Warren,1,False,326523719,605874,110,0.1856,
111,Verano Rosa,KAROL G,1,False,326503617,530446,139,0.1625,
112,TURiSTA,Bad Bunny,1,False,325961455,400165,200,0.1228,
113,La Perla,ROSALÍA,1,False,323952882,596427,115,0.1841,
114,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)",TWICE,1,False,322663165,261854,315,0.0812,
115,The Subway,Chappell Roan,1,False,321326855,441154,177,0.1373,
116,FAMOSINHA,Dj Caio Vieira,1,False,321135635,261843,316,0.0815,
117,TU TU TU,Clave Especial,1,False,315329431,341735,235,0.1084,
118,Father Figure,Taylor Swift,1,False,313964565,346642,232,0.1104,
119,KETU TeCRÉ,Bad Bunny,1,False,311195782,366089,220,0.1176,
120,Midnight Sun,Zara Larsson,1,False,311013242,1756173,22,0.5647,
121,BOKeTE,Bad Bunny,1,False,310413728,362657,224,0.1168,
122,A Couple Minutes,Olivia Dean,1,False,306713434,841399,67,0.2743,
123,Casanova,Soolking,1,False,305865540,119718,531,0.0391,
124,TIT FOR TAT,Tate McRae,1,False,305725341,397357,201,0.13,
125,Rein Me In,Sam Fender,1,False,305483699,1684118,23,0.5513,
126,4 Raws,EsDeeKid,1,False,305161915,766838,77,0.2513,
127,LA MuDANZA,Bad Bunny,1,False,305035830,534318,138,0.1752,
128,YOGURCITO REMIX,Blessd,1,False,304799934,822361,70,0.2698,
129,White Keys,Dominic Fike,1,False,304456164,2278035,15,0.7482,
130,RATHER LIE,Playboi Carti,1,False,303923954,279742,296,0.092,
131,Chiquita,Neton Vega,1,False,302353284,164073,446,0.0543,
132,Lose My Mind,Don Toliver,1,False,302209343,516377,145,0.1709,
133,CHAVALITAS,Fuerza Regida,1,False,301971241,1062695,42,0.3519,
134,Sedia Aku Sebelum Hujan,Idgitaf,1,False,301224786,737654,82,0.2449,
135,Show Me Love,WizTheMc,1,False,300140092,539297,136,0.1797,
136,MONTAGEM XONADA,MXZI,1,False,300090632,438811,180,0.1462,
137,DIA DELÍCIA,Nakama,1,False,299886609,315055,265,0.1051,
138,"Tonight, Tonight",The Smashing Pumpkins,1,False,297205135,193324,407,0.065,
139,Coleccionando Heridas,KAROL G,1,False,297001643,657213,99,0.2213,
140,Nobody’s Son,Sabrina Carpenter,1,False,294810868,664854,95,0.2255,
141,TABOLA BALE,Silet Open Up,1,False,293724231,271067,304,0.0923,
142,top diesel,Beéle,1,False,293676679,375756,215,0.1279,
143,Wish I Knew You,The Revivalists,1,False,292052013,142324,485,0.0487,
144,twilight zone,Ariana Grande,1,False,291088885,317829,259,0.1092,
145,Apaguei pra todos,Ferrugem,1,False,290040267,271789,302,0.0937,
146,Garam & Madu (Sakit Dadaku),Tenxi,1,False,290017191,161568,453,0.0557,
147,dopamina,Peso Pluma,1,False,289145336,968012,51,0.3348,
148,Ya Borracho,Herencia De Grandes,1,False,283940668,1085905,38,0.3824,
149,SOLEAO,Myke Towers,1,False,283631073,514761,146,0.1815,
150,Chula Vente,Luis R Conriquez,1,False,280140409,406113,198,0.145,
151,Wi$h Li$t,Taylor Swift,1,False,279598120,333020,244,0.1191,
152,Real Man,beabadoobee,1,False,278155906,253503,327,0.0911,
153,ライラック,Mrs. GREEN APPLE,1,False,278065024,226117,360,0.0813,
154,LATINA FOREVA,KAROL G,1,False,277682749,526676,141,0.1897,
155,The Life of a Showgirl,Taylor Swift,1,False,277674444,318563,258,0.1147,
156,MONA LISA,j-hope,1,False,276373186,260804,318,0.0944,
157,Gameboy,KATSEYE,1,False,274009050,636344,103,0.2322,
158,daño,Peso Pluma,1,False,273380759,1538443,29,0.5627,
159,Balanço da Rede,Matheus Fernandes,1,False,272123666,27422,711,0.0101,
160,House Tour,Sabrina Carpenter,1,False,269744346,883445,65,0.3275,
161,LUNA BALA,Yb Wasg'ood,1,False,268727426,266348,308,0.0991,
162,Siren sounds (bonus),Tate McRae,1,False,266210131,385512,209,0.1448,
163,EVIL J0RDAN,Playboi Carti,1,False,265867301,229095,356,0.0862,
164,IRIS OUT,Kenshi Yonezu,1,False,263854590,482321,162,0.1828,
165,For A Reason,Karan Aujla,1,False,263653349,431734,184,0.1638,
166,Triple Lavada,Esau Ortiz,1,False,263265257,265525,310,0.1009,
167,quédate,Beéle,1,False,263139505,320547,256,0.1218,
168,111,Yan Block,1,False,263083211,439540,179,0.1671,
169,We Hug Now,Sydney Rose,1,False,262780117,336165,242,0.1279,
170,SPAGHETTI,LE SSERAFIM,1,False,262468327,505027,149,0.1924,
171,kota ini tak sama tanpamu,Nadhif Basalamah,1,False,262372520,1037771,45,0.3955,
172,"Phir Mohabbat (From ""Murder 2"")",Mohammed Irfan,1,False,261623436,267039,307,0.1021,
173,Haseen,Talwiinder,1,False,259094630,332307,247,0.1283,
174,caperuza,Fuerza Regida,1,False,254822590,892774,63,0.3504,
175,Presepada,Marília Mendonça,1,False,254794861,46077,675,0.0181,
176,LA VILLA,Ryan Castro,1,False,253802869,1080931,40,0.4259,
177,wgft,Gunna,1,False,252936359,590337,116,0.2334,
178,Beautiful People,David Guetta,1,False,252782826,353417,229,0.1398,
179,Good News,Shaboozey,1,False,249878133,344740,233,0.138,
180,Insomnia (Monster Mix),Faithless,1,False,248910145,149198,472,0.0599,
181,Illegal,PinkPantheress,1,False,247298025,501710,153,0.2029,
182,Ilusão De Ótica,Matheus & Kauan,2,True,246780032,389882,205,0.158,
183,Penyangkalan,For Revenge,1,False,245766969,721281,89,0.2935,
184,"Sally, When The Wine Runs Out",ROLE MODEL,1,False,245213334,428320,187,0.1747,
185,Wood,Taylor Swift,1,False,244532763,238513,344,0.0975,
186,Afsos,Anuv Jain,1,False,244445747,256860,322,0.1051,
187,Victory Lap,Fred again..,1,False,243683459,490129,155,0.2011,
188,Eu Me Apaixonei,Vitinho Imperador,1,False,242135260,485885,157,0.2007,
189,Mi Vida Mi Muerte,Neton Vega,1,False,241675020,311897,268,0.1291,
190,Actually Romantic,Taylor Swift,1,False,241563671,250965,331,0.1039,
191,Lover Girl,Laufey,1,False,240785150,683948,93,0.284,
192,Shiny,Easykid,1,False,239809390,290545,289,0.1212,
193,All The Way,BigXthaPlug,1,False,238832982,426729,188,0.1787,
194,sobelove,Beéle,1,False,237974227,208376,383,0.0876,
195,her,JVKE,1,False,237861799,467015,167,0.1963,
196,Baby Steps,Olivia Dean,1,False,235579694,608717,108,0.2584,
197,Ama Um Maloqueiro,Rafa e Junior,1,False,234800789,425471,190,0.1812,
198,Ojos Tristes,Selena Gomez,1,False,233736293,222788,367,0.0953,
199,CANCELLED!,Taylor Swift,1,False,233533573,224553,362,0.0962,
200,Let Alone The One You Love,Olivia Dean,1,False,232727573,469143,166,0.2016,
201,NOW OR NEVER,Tkandz,1,False,232175017,425135,191,0.1831,
202,Better Me For You (Brown Eyes),Max McNown,1,False,232133487,482812,161,0.208,
203,Love Hangover,JENNIE,1,False,231697292,164968,443,0.0712,
204,Fable,Gigi Perez,1,False,230410520,276042,298,0.1198,
205,Zoo,Disney,1,False,229200631,937894,53,0.4092,
206,Ruin The Friendship,Taylor Swift,1,False,229101715,326872,252,0.1427,
207,"Gehra Hua (From ""Dhurandhar"")",Shashwat Sachdev,1,False,228305619,1009236,47,0.4421,
208,Devil in Disguise,Marino,1,False,227773199,358056,225,0.1572,
209,NO BATIDÃO,ZXKAI,1,False,227521371,580132,118,0.255,
210,NINAO,GIMS,1,False,226624219,257034,321,0.1134,
211,What Did I Miss?,Drake,1,False,226623154,1057927,43,0.4668,
212,7-3,Peso Pluma,1,False,224969113,801254,74,0.3562,
213,Blue Strips,Jessie Murph,1,False,223879641,228085,357,0.1019,
214,MENTE MÁ,Nakama,1,False,223218464,311383,269,0.1395,
215,bittersweet,Madison Beer,1,False,222475971,407492,197,0.1832,
216,Pela Última Vez,Grupo Menos É Mais,1,False,221988122,390117,204,0.1757,
217,Zero,The Smashing Pumpkins,1,False,221230174,89902,586,0.0406,
218,Ese Loco Soy Yo,Liberación,1,False,220786762,161838,451,0.0733,
219,morena (Bonus Track),Beéle,1,False,220743874,126932,516,0.0575,
220,What You Saying,Lil Uzi Vert,1,False,220395515,616206,106,0.2796,
221,NUNCA MUDA?,Scythermane,1,False,220156384,137631,496,0.0625,
222,ME POSTOU NO DAILY,MC GP,1,False,220129519,489075,156,0.2222,
223,MONTAGEM BAILÃO,Repsaj,1,False,219763380,182325,421,0.083,
224,MONTAGEM TOMADA,MXZI,1,False,219537183,161554,454,0.0736,
225,Islands,The xx,1,False,219483218,44158,679,0.0201,
226,Dear god,Tate McRae,1,False,219291714,211893,378,0.0966,
227,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,1,False,219128517,825033,68,0.3765,
228,SEQUÊNCIA FEITICEIRA,PEDRO SAMPAIO,1,False,219032042,288587,291,0.1318,
229,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",Camille Saint-Saëns,1,False,218012377,72132,616,0.0331,
230,Volver,Piso 21,1,False,216298218,208052,384,0.0962,
231,Which One,Drake,1,False,215646407,518066,143,0.2402,
232,Eu Te Seguro,Panda,1,False,215199376,1302344,33,0.6052,
233,LOS VOLTAJE,Sayfalse,1,False,214644198,205803,389,0.0959,
234,Oro,Bronco,1,False,214551096,132337,502,0.0617,
235,Make Me Feel,oskar med k,1,False,214497101,490957,154,0.2289,
236,Milagros,KAROL G,1,False,214401034,337984,238,0.1576,
237,Eldest Daughter,Taylor Swift,1,False,214347159,186705,415,0.0871,
238,Tum Ho Toh,Vishal Mishra,1,False,213954716,682096,94,0.3188,
239,LO QUE LE PASÓ A HAWAii,Bad Bunny,1,False,213643016,332776,245,0.1558,
240,COMË N GO,Yeat,1,False,213116265,465646,169,0.2185,
241,NO BATIDÃO,ZXKAI,1,False,212941320,706434,90,0.3318,
242,Saudade De Quem Eu Sou,Henrique & Juliano,2,True,212233056,337870,239,0.1592,
243,we never dated,sombr,1,False,211631262,926143,56,0.4376,
244,Solcito,Miguel Bueno,1,False,211366116,220885,370,0.1045,
245,NUBES,De La Rose,1,False,210125663,378361,213,0.1801,
246,Blancanieves,Natanael Cano,1,False,209867460,314811,266,0.15,
247,SOMEBODY LOVES ME,PARTYNEXTDOOR,1,False,209403805,306302,274,0.1463,
248,"Barbaad (From ""Saiyaara"")",The Rish,1,False,208064953,579053,119,0.2783,
249,Kasih Aba Aba,Naykilla,1,False,207910807,144919,479,0.0697,
250,TODO KE VER,Jere Klein,1,False,207818013,301810,278,0.1452,
251,AURORA,Mora,1,False,207375214,292362,285,0.141,
252,Nunca Voy A Olvidarte,Bronco,1,False,207120772,82900,600,0.04,
253,Ráfagas al Viento,Victor Mendivil,1,False,206529798,223563,364,0.1082,
254,Handlebars,JENNIE,1,False,206121504,164215,445,0.0797,
255,Spring Into Summer,Lizzy McAlpine,1,False,205819873,340268,236,0.1653,
256,The First Time,Damiano David,1,False,203674481,321681,253,0.1579,
257,Saudade Burra,Lauana Prado,1,False,202123960,141894,487,0.0702,
258,Deixa Eu,Murilo Huff,1,False,199934021,611817,107,0.306,
259,So Far So Fake,Pierce The Veil,1,False,199777115,378036,214,0.1892,
260,LV Sandals,EsDeeKid,1,False,199559906,422016,194,0.2115,
261,Priti,Danny Ocean,1,False,199548196,257761,319,0.1292,
262,ACELERADA,sma$her,1,False,199496868,272827,300,0.1368,
263,Nosso Primeiro Beijo,Gloria Groove,1,False,199448317,136376,498,0.0684,
264,AMISTA,Blessd,1,False,199250121,316054,263,0.1586,
265,"Tujhe Bhula Diya (From ""Anjaana Anjaani"")",Mohit Chauhan,1,False,198989419,147593,474,0.0742,
266,O Rangrez,Shankar-Ehsaan-Loy,1,False,198754991,231789,353,0.1166,
267,I've Seen It,Olivia Dean,1,False,198541135,434369,183,0.2188,
268,Vamo a Bailotear,Cris MJ,1,False,198122461,203045,394,0.1025,
269,Supreme,Shubh,1,False,197884741,162982,448,0.0824,
270,Quiero Decirte,Abraham Mateo,1,False,197465728,186121,416,0.0943,
271,3 PECADOS DESPUES…,Milo j,1,False,197281483,210377,380,0.1066,
272,Honey,Taylor Swift,1,False,196672775,222548,368,0.1132,
273,The Dead Dance,Lady Gaga,1,False,196614649,197741,402,0.1006,
274,20 Cigarettes,Morgan Wallen,1,False,196023790,476722,163,0.2432,
275,Linda Mujer,Ian Cordova,1,False,195722941,332295,248,0.1698,
276,two,bbno$,1,False,195655278,205815,388,0.1052,
277,Será Mejor Que Te Vayas,Marco Antonio Solís,1,False,195415447,119924,530,0.0614,
278,Forever,HUGEL,1,False,195157237,318630,257,0.1633,
279,Dardos,Romeo Santos,1,False,194432293,915205,57,0.4707,
280,TWENTIES,GIVĒON,1,False,194065123,235739,347,0.1215,
281,Eu Vou na Sua Casa,Felipe Amorim,1,False,193326579,182077,422,0.0942,
282,Run Away With Me,Carly Rae Jepsen,1,False,193233284,43551,680,0.0225,
283,I Wanted to Leave,SYML,1,False,193078594,113291,542,0.0587,
284,Cero Empatía,Julión Álvarez y su Norteño Banda,1,False,191778479,265354,312,0.1384,
285,Crying On The Dancefloor,Sam Feldt,1,False,191433752,48325,672,0.0252,
286,Enséñame A Olvidarte,Intocable,1,False,190464377,118323,535,0.0621,
287,Lady Lady,Olivia Dean,1,False,189302854,412430,196,0.2179,
288,4x4xU,Lainey Wilson,1,False,188571597,340156,237,0.1804,
289,In My Head,Juice WRLD,1,False,188396992,56950,652,0.0302,
290,"Daddy Yankee: Bzrp Music Sessions, Vol. 0/66",Bizarrap,1,False,187791805,388937,206,0.2071,
291,TOXIC,Playboi Carti,1,False,187504348,254400,325,0.1357,
292,mejikuhibiniu,Tenxi,1,False,187405584,186862,414,0.0997,
293,GO!,CORTIS,1,False,187338528,598140,113,0.3193,
294,Seoul City,JENNIE,1,False,186844982,240991,340,0.129,
295,WASSUP,Young Miko,1,False,185738416,294428,284,0.1585,
296,Century,EsDeeKid,1,False,185460027,465855,168,0.2512,
297,Con Otra,Cazzu,1,False,185241463,224034,363,0.1209,
298,Dhun,Mithoon,1,False,184901344,384415,210,0.2079,
299,Descer,Kew,1,False,184633849,120494,528,0.0653,
300,earthquake,JISOO,1,False,184519558,143793,482,0.0779,
301,Os Anjos Cantam,Jorge & Mateus,2,True,182865077,200679,398,0.1097,
302,Candy Store,Kevin Murphy,1,False,182615116,88986,589,0.0487,
303,Ivonny Bonita,KAROL G,1,False,182454765,446803,176,0.2449,
304,Messy (From F1® The Movie),ROSÉ,1,False,182320233,193340,406,0.106,
305,Boyfriend,Karan Aujla,1,False,181976338,543323,133,0.2986,
306,Hell At Night,BigXthaPlug,1,False,181590961,723551,88,0.3985,
307,Jealous Type,Doja Cat,1,False,181581260,371568,217,0.2046,
308,La Ciudad del Sol,Omar Camacho,1,False,181399664,365378,222,0.2014,
309,MONTAGEM RUGADA,cape,1,False,180853310,317420,260,0.1755,
310,Sweet Dreams,j-hope,1,False,180505811,153977,463,0.0853,
311,Bandida,Luis R Conriquez,1,False,180462762,145868,477,0.0808,
312,Niño,Milo j,1,False,180449208,559955,129,0.3103,
313,On & On,Armin van Buuren,1,False,180370282,74442,614,0.0413,
314,15 Minutes,Sabrina Carpenter,1,False,180254924,154824,462,0.0859,
315,Mi Entorno,Virlan Garcia,1,False,180199716,623212,105,0.3458,
316,Tiramisu,Don Toliver,1,False,179769297,437947,181,0.2436,
317,SE VOLVIERON LOCOS,Kane Rodriguez,1,False,179690819,344510,234,0.1917,
318,My Man on Willpower,Sabrina Carpenter,1,False,179574067,336677,241,0.1875,
319,Naiilang,Le John,1,False,179030255,225301,361,0.1258,
320,THIS IS FOR,TWICE,1,False,178946896,308639,272,0.1725,
321,NOT CUTE ANYMORE,ILLIT,1,False,178584550,543202,134,0.3042,
322,GBP,Central Cee,1,False,177792702,109007,552,0.0613,
323,HOT,LE SSERAFIM,1,False,177511432,201353,395,0.1134,
324,On the Nature of Daylight,Max Richter,1,False,177490904,114951,540,0.0648,
325,Hammer to the Heart,Teddy Swims,1,False,177240279,121089,527,0.0683,
326,P*RNSTAR,Nessa Barrett,1,False,176862350,129322,511,0.0731,
327,4X4,Travis Scott,1,False,176753745,127445,514,0.0721,
328,The Abyss,The Weeknd,1,False,176626442,221550,369,0.1254,
329,Pushing It Down and Praying,Lizzy McAlpine,1,False,176239656,275894,299,0.1565,
330,Miss possessive,Tate McRae,1,False,176098790,145222,478,0.0825,
331,El Mayor de los Ranas (En Vivo),Grupo Marca Registrada,1,False,176017576,175628,434,0.0998,
332,No Me Enseñaste,Thalia,1,False,175694949,88802,590,0.0505,
333,I know love,Tate McRae,1,False,175661681,117821,536,0.0671,
334,Staying,Lizzy McAlpine,1,False,175344623,315207,264,0.1798,
335,git,BLOK3,1,False,175009805,181619,423,0.1038,
336,Me Mareo,Kidd Voodoo,1,False,174809009,256805,323,0.1469,
337,I Ain't Comin' Back,Morgan Wallen,1,False,174701783,226315,359,0.1295,
338,Caramel,Sleep Token,1,False,174573303,208538,382,0.1195,
339,MON BÉBÉ,RnBoi,1,False,174202141,502149,152,0.2883,
340,Ba Ba Bad Remix,Kybba,1,False,174130253,279412,297,0.1605,
341,CIEL,GIMS,1,False,173099491,126965,515,0.0733,
342,FaSHioN,CORTIS,1,False,173093828,508956,148,0.294,
343,Thodi Si Daaru,AP Dhillon,1,False,173081124,302406,277,0.1747,
344,La Pantera,Marcos Villalobos,1,False,172997296,235971,346,0.1364,
345,Hiekka,Nicky Jam,1,False,172807157,157775,459,0.0913,
346,JETSKI,PEDRO SAMPAIO,1,False,172385668,454319,174,0.2635,
347,tau mich auf,Zartmann,1,False,171566297,88496,591,0.0516,
348,"Tum Ho (From ""Rockstar"")",Mohit Chauhan,1,False,171498763,143978,481,0.084,
349,melodrama,disiz,1,False,170422881,351033,230,0.206,
350,Keşke,BLOK3,1,False,170105022,133049,501,0.0782,
351,Jamaican (Bam Bam),HUGEL,1,False,170051919,1666834,24,0.9802,
352,Aquele Lugar,Grupo Menos É Mais,1,False,169977296,197797,401,0.1164,
353,King of Watches,Victor Mendivil,1,False,169801178,290866,288,0.1713,
354,Survivor,2WEI,1,False,169648196,51558,665,0.0304,
355,Somethin' 'Bout A Woman,Thomas Rhett,1,False,169110238,192051,409,0.1136,
356,Take My Mind,WizTheMc,1,False,168712328,431729,185,0.2559,
357,O Que É Que Tem,Jorge & Mateus,2,True,168677341,114682,541,0.068,
358,"Suite bergamasque, L. 75: III. Clair de lune",Claude Debussy,1,False,168182933,86003,594,0.0511,
359,napıyosun mesela ?,BLOK3,1,False,167959716,239727,342,0.1427,
360,Everybody Here Wants You,Jeff Buckley,1,False,167728650,303809,275,0.1811,
361,DETRÁS DE TU ALMA,Mora,1,False,167549792,223130,365,0.1332,
362,Garden Of Eden,Lady Gaga,1,False,167264389,122195,526,0.0731,
363,Lanterna Dos Afogados,Os Paralamas Do Sucesso,1,False,167223542,76888,609,0.046,
364,Go Go Juice,Sabrina Carpenter,1,False,167122700,311334,270,0.1863,
365,Arruma Um Bão,Israel & Rodolffo,2,True,167041127,79603,607,0.0477,
366,KUSURA BAKMA,BLOK3,1,False,167026632,355885,226,0.2131,
367,Running Around,Ely Oaks,1,False,166594859,207733,385,0.1247,
368,YOUR WAY'S BETTER,Forrest Frank,1,False,166271009,263332,314,0.1584,
369,Vem Vem,Jmilton,1,False,165992966,161523,455,0.0973,
370,Up From the Bottom,Linkin Park,1,False,165491280,281343,294,0.17,
371,The Giver,Chappell Roan,1,False,165474351,112579,544,0.068,
